position;uv;cc
108;63876;135
133;33337;91
29;1005844;4655
54;785135;1488
8;1360537;30494
120;62005;166
16;1227565;12362
41;863681;2607
149;32356;50
174;30983;34
95;66325;207
136;33168;69
161;31614;53
57;772313;1434
82;68786;247
123;33903;107
19;1189756;9529
44;838811;2286
177;30858;39
98;65683;1882
110;63502;147
31;973794;4147
139;32976;75
164;31467;49
85;68189;238
126;33704;85
151;32243;79
47;819625;1976
72;70836;273
113;63068;151
34;934612;3643
167;31295;46
88;67604;181
100;65181;155
21;1162574;8174
0;68818979;1350343
129;33527;85
154;32033;64
75;70236;301
116;62556;121
141;32838;82
37;901746;3104
62;72957;497
103;64677;157
24;1097187;6527
157;31822;55
3;1518969;106099
78;69529;237
11;1299156;20454
119;62138;143
144;32661;63
65;72324;347
90;67203;214
106;64256;167
131;33445;84
27;1040034;5578
52;793698;1551
6;1413417;43806
14;1253468;14796
147;32477;52
172;31045;49
68;71719;317
93;66651;173
109;63704;126
134;33276;73
55;780168;1570
80;69178;245
9;1338440;26407
121;34017;131
17;1214989;11341
42;855069;2471
175;30928;57
96;66121;200
137;33122;63
162;31560;56
58;768431;1456
83;68571;277
124;33816;104
45;832286;2038
70;71296;294
178;30813;56
99;65402;172
111;63385;140
32;960002;3982
165;31422;47
86;67979;238
127;33641;91
152;32204;66
48;814218;1868
73;70670;308
114;62943;164
35;923363;3418
60;760957;1560
168;31247;45
89;67404;203
101;64998;151
22;1139459;7507
1;1655921;489764
155;31973;54
180;30694;59
76;70019;294
117;62423;130
142;32784;70
38;890399;2887
63;72749;390
104;64507;143
25;1077828;6105
50;804093;1771
158;31770;56
4;1479073;73264
79;69359;246
12;1282572;18394
145;32602;82
170;31156;41
66;72136;351
91;67025;196
107;64051;155
132;33378;86
28;1022800;4800
53;789361;1535
7;1385138;35840
15;1240524;13355
40;871714;2675
148;32405;57
173;31024;38
69;71524;335
94;66534;192
135;33224;72
160;31692;47
56;776478;1559
81;69006;225
122;33956;134
18;1202056;10500
43;846541;2459
176;30887;41
97;65889;149
30;989168;4522
138;33049;66
163;31503;55
59;764343;1502
84;68364;245
125;33740;122
150;32306;81
46;825612;1946
71;71024;323
179;30745;61
112;63233;124
33;946998;3758
166;31377;45
87;67797;197
20;1177379;8766
128;33582;91
153;32132;55
49;808546;1833
74;70444;281
115;62756;117
140;32917;74
36;911554;3155
61;73164;478
169;31203;45
102;64820;148
23;1118275;7305
156;31926;59
2;1572673;180201
77;69776;253
10;1318297;23416
118;62266;145
143;32702;88
39;880470;2859
64;72519;354
105;64383;146
130;33491;91
26;1058015;5874
51;799448;1730
159;31719;60
5;1444150;54698
13;1267463;16358
146;32504;78
171;31108;53
67;71913;333
92;66806;199
